"","...1","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1",1,"adipose tissue, brain, ovary",1,1,"1-Group enriched: adipose tissue, brain, ovary","60%-40%","Deep"
"2",2,"adipose tissue, breast",1,2,"2-Group enriched: adipose tissue, breast","60%-40%","Deep"
"3",3,"adrenal gland, pituitary gland",1,3,"3-Group enriched: adrenal gland, pituitary gland","60%-40%","Deep"
"4",4,"adrenal gland, pituitary gland, placenta",1,4,"4-Group enriched: adrenal gland, pituitary gland, placenta","60%-40%","Deep"
"5",5,"bone marrow, brain, lymphoid tissue, thyroid gland",1,5,"5-Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland","60%-40%","Deep"
"6",6,"bone marrow, lung, lymphoid tissue",1,6,"6-Group enriched: bone marrow, lung, lymphoid tissue","60%-40%","Deep"
"7",7,"bone marrow, lymphoid tissue",2,7,"7-Group enriched: bone marrow, lymphoid tissue","60%-40%","Deep"
"8",8,"bone marrow, skeletal muscle",1,8,"8-Group enriched: bone marrow, skeletal muscle","60%-40%","Deep"
"9",9,"brain, choroid plexus",1,9,"9-Group enriched: brain, choroid plexus","60%-40%","Deep"
"10",10,"brain, epididymis",1,10,"10-Group enriched: brain, epididymis","60%-40%","Deep"
"11",11,"brain, gallbladder",1,11,"11-Group enriched: brain, gallbladder","60%-40%","Deep"
"12",12,"brain, intestine, pancreas, pituitary gland, stomach 1",1,12,"12-Group enriched: brain, intestine, pancreas, pituitary gland, stomach 1","60%-40%","Deep"
"13",13,"brain, pituitary gland",1,13,"13-Group enriched: brain, pituitary gland","60%-40%","Deep"
"14",14,"brain, skeletal muscle",1,14,"14-Group enriched: brain, skeletal muscle","60%-40%","Deep"
"15",15,"brain, skeletal muscle, tongue",1,15,"15-Group enriched: brain, skeletal muscle, tongue","60%-40%","Deep"
"16",16,"breast, pituitary gland, salivary gland, stomach 1",1,16,"16-Group enriched: breast, pituitary gland, salivary gland, stomach 1","60%-40%","Deep"
"17",17,"esophagus, lung, salivary gland, stomach 1",1,17,"17-Group enriched: esophagus, lung, salivary gland, stomach 1","60%-40%","Deep"
"18",18,"esophagus, lymphoid tissue, vagina",1,18,"18-Group enriched: esophagus, lymphoid tissue, vagina","60%-40%","Deep"
"19",19,"esophagus, parathyroid gland",1,19,"19-Group enriched: esophagus, parathyroid gland","60%-40%","Deep"
"20",20,"esophagus, salivary gland, skin 1, vagina",1,20,"20-Group enriched: esophagus, salivary gland, skin 1, vagina","60%-40%","Deep"
"21",21,"fallopian tube, lung",1,21,"21-Group enriched: fallopian tube, lung","60%-40%","Deep"
"22",22,"gallbladder, lymphoid tissue, urinary bladder",1,22,"22-Group enriched: gallbladder, lymphoid tissue, urinary bladder","60%-40%","Deep"
"23",23,"heart muscle, skeletal muscle, tongue",1,23,"23-Group enriched: heart muscle, skeletal muscle, tongue","60%-40%","Deep"
"24",24,"intestine, kidney",1,24,"24-Group enriched: intestine, kidney","60%-40%","Deep"
"25",25,"intestine, liver",1,25,"25-Group enriched: intestine, liver","60%-40%","Deep"
"26",26,"intestine, lymphoid tissue",3,26,"26-Group enriched: intestine, lymphoid tissue","60%-40%","Deep"
"27",27,"intestine, lymphoid tissue, skin 1, urinary bladder",1,27,"27-Group enriched: intestine, lymphoid tissue, skin 1, urinary bladder","60%-40%","Deep"
"28",28,"intestine, pancreas",2,28,"28-Group enriched: intestine, pancreas","60%-40%","Deep"
"29",29,"kidney, liver",1,29,"29-Group enriched: kidney, liver","60%-40%","Deep"
"30",30,"kidney, pancreas, skeletal muscle",1,30,"30-Group enriched: kidney, pancreas, skeletal muscle","60%-40%","Deep"
"31",31,"lymphoid tissue, placenta",1,31,"31-Group enriched: lymphoid tissue, placenta","60%-40%","Deep"
"32",32,"Low tissue specificity",131,32,"32-Low tissue specificity","60%-40%","Deep"
"33",33,"Not detected",1,33,"33-Not detected","60%-40%","Deep"
"34",34,"adipose tissue",3,34,"34-Tissue enhanced: adipose tissue","60%-40%","Deep"
"35",35,"adipose tissue, breast, placenta",1,35,"35-Tissue enhanced: adipose tissue, breast, placenta","60%-40%","Deep"
"36",36,"adipose tissue, lymphoid tissue, urinary bladder",1,36,"36-Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder","60%-40%","Deep"
"37",37,"adrenal gland",1,37,"37-Tissue enhanced: adrenal gland","60%-40%","Deep"
"38",38,"adrenal gland, brain",1,38,"38-Tissue enhanced: adrenal gland, brain","60%-40%","Deep"
"39",39,"adrenal gland, liver, pancreas",1,39,"39-Tissue enhanced: adrenal gland, liver, pancreas","60%-40%","Deep"
"40",40,"bone marrow",6,40,"40-Tissue enhanced: bone marrow","60%-40%","Deep"
"41",41,"bone marrow, brain",1,41,"41-Tissue enhanced: bone marrow, brain","60%-40%","Deep"
"42",42,"bone marrow, lung, lymphoid tissue",4,42,"42-Tissue enhanced: bone marrow, lung, lymphoid tissue","60%-40%","Deep"
"43",43,"bone marrow, lymphoid tissue",9,43,"43-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","Deep"
"44",44,"bone marrow, stomach 1, urinary bladder",1,44,"44-Tissue enhanced: bone marrow, stomach 1, urinary bladder","60%-40%","Deep"
"45",45,"brain",12,45,"45-Tissue enhanced: brain","60%-40%","Deep"
"46",46,"brain, choroid plexus",1,46,"46-Tissue enhanced: brain, choroid plexus","60%-40%","Deep"
"47",47,"brain, choroid plexus, lung",1,47,"47-Tissue enhanced: brain, choroid plexus, lung","60%-40%","Deep"
"48",48,"brain, esophagus",1,48,"48-Tissue enhanced: brain, esophagus","60%-40%","Deep"
"49",49,"brain, heart muscle, testis",1,49,"49-Tissue enhanced: brain, heart muscle, testis","60%-40%","Deep"
"50",50,"brain, intestine, testis",1,50,"50-Tissue enhanced: brain, intestine, testis","60%-40%","Deep"
"51",51,"brain, kidney, testis",1,51,"51-Tissue enhanced: brain, kidney, testis","60%-40%","Deep"
"52",52,"brain, liver",2,52,"52-Tissue enhanced: brain, liver","60%-40%","Deep"
"53",53,"brain, lung, lymphoid tissue",1,53,"53-Tissue enhanced: brain, lung, lymphoid tissue","60%-40%","Deep"
"54",54,"brain, pancreas",1,54,"54-Tissue enhanced: brain, pancreas","60%-40%","Deep"
"55",55,"brain, parathyroid gland",2,55,"55-Tissue enhanced: brain, parathyroid gland","60%-40%","Deep"
"56",56,"brain, pituitary gland",1,56,"56-Tissue enhanced: brain, pituitary gland","60%-40%","Deep"
"57",57,"brain, retina",2,57,"57-Tissue enhanced: brain, retina","60%-40%","Deep"
"58",58,"brain, skeletal muscle",1,58,"58-Tissue enhanced: brain, skeletal muscle","60%-40%","Deep"
"59",59,"brain, skeletal muscle, tongue",1,59,"59-Tissue enhanced: brain, skeletal muscle, tongue","60%-40%","Deep"
"60",60,"brain, skin 1",1,60,"60-Tissue enhanced: brain, skin 1","60%-40%","Deep"
"61",61,"brain, smooth muscle, urinary bladder",1,61,"61-Tissue enhanced: brain, smooth muscle, urinary bladder","60%-40%","Deep"
"62",62,"brain, thyroid gland",1,62,"62-Tissue enhanced: brain, thyroid gland","60%-40%","Deep"
"63",63,"brain, urinary bladder",1,63,"63-Tissue enhanced: brain, urinary bladder","60%-40%","Deep"
"64",64,"breast, choroid plexus",1,64,"64-Tissue enhanced: breast, choroid plexus","60%-40%","Deep"
"65",65,"breast, fallopian tube, pancreas",1,65,"65-Tissue enhanced: breast, fallopian tube, pancreas","60%-40%","Deep"
"66",66,"breast, liver, lymphoid tissue",1,66,"66-Tissue enhanced: breast, liver, lymphoid tissue","60%-40%","Deep"
"67",67,"cervix",2,67,"67-Tissue enhanced: cervix","60%-40%","Deep"
"68",68,"cervix, endometrium 1, smooth muscle",1,68,"68-Tissue enhanced: cervix, endometrium 1, smooth muscle","60%-40%","Deep"
"69",69,"cervix, gallbladder",1,69,"69-Tissue enhanced: cervix, gallbladder","60%-40%","Deep"
"70",70,"cervix, salivary gland",1,70,"70-Tissue enhanced: cervix, salivary gland","60%-40%","Deep"
